jid,title,location,proj_quals,job_desc,start_date,end_date
J0000,Data Analyst,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/30/2025,6/2/2025
J0001,Software Engineer,Hanoi,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,2/27/2025,7/13/2025
J0002,Project Manager,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,4/9/2025,8/29/2025
J0003,Software Engineer,Hanoi,"Python, SQL, Power BI",Develop predictive models and report insights.,3/28/2025,7/12/2025
J0004,Marketing Specialist,Ho Chi Minh,"Python, SQL, Power BI",Design and execute marketing campaigns.,1/28/2025,9/7/2025
J0005,Marketing Specialist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,2/24/2025,7/28/2025
J0006,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,3/23/2025,6/4/2025
J0007,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/16/2025,7/31/2025
J0008,Project Manager,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/13/2025,8/6/2025
J0009,Software Engineer,Ho Chi Minh,"Java, SQL, Communication",Analyze data and visualize results.,2/9/2025,7/5/2025
J0010,Data Scientist,Da Nang,"Python, SQL, Power BI",Develop backend systems and maintain performance.,1/14/2025,7/19/2025
J0011,Project Manager,Hanoi,"Python, SQL, Power BI",Develop predictive models and report insights.,3/27/2025,9/3/2025
J0012,Marketing Specialist,Hanoi,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,3/19/2025,6/7/2025
J0013,Software Engineer,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,1/30/2025,7/2/2025
J0014,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,1/1/2025,8/22/2025
J0015,Marketing Specialist,Hanoi,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,1/25/2025,6/28/2025
J0016,Software Engineer,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,2/10/2025,7/10/2025
